Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Vuori-men,sunday-performance-jogger-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V416_BLK_1_3c2a46a7-a06c-4ff7-9165-34fce6360b56.jpg?v=1554350906,2,,,,,,,,,,,,,,,,,,,,,
Vuori-men,sunday-performance-jogger-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V416_BLK_2.jpg?v=1554350906,3,,,,,,,,,,,,,,,,,,,,,
Vuori-men,sunday-performance-jogger-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V416_BLK_3.jpg?v=1554350906,4,,,,,,,,,,,,,,,,,,,,,
Vuori-men,kore-short-charcoal,Kore Short | Charcoal,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>One short for every sport, the Kore Short has a classic athletic fit, falling just about the knee, with an anywhere and everywhere versatility. Go commando in confidence with the breathable, boxer-brief liner. Great for yoga, training, running and chilling.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Orders will ship within 1 business day from the time they are placed. All Vuori order ship from Southern California. Once processed, standard ground shipments can take as little as 2-3 days to destinations within California and up to five to ten business days to the east coast. Expedited shipments are the exception. Orders must be placed by noon eastern time to be processed same business day.\n\nIf you are not completely satisfied with your purchase, send it back. We are happy to accept returns (we do not accept returns of sale-items) for a refund, or store credit. (If an order is older than 60 days we can only offer store credit).</sectionBody></section></sections>",Vuori-men,Shorts,"vuori, shorts",,Title, Default Title,Link,https://vuoriclothing.com/collections/mens/products/kore-short-charcoal,,,,1,,deny,manual,68,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V302CCL_f9ad860e-6cfd-40a3-81ce-a269d1aa457c.jpg?v=1561662369,1,,FALSE,,,,,,,,,,,,,,,,,,,
Vuori-men,kore-short-charcoal,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V302CCL_1.jpg?v=1561662369,2,,,,,,,,,,,,,,,,,,,,,
Vuori-men,kore-short-charcoal,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V302CCL_2.jpg?v=1561662369,3,,,,,,,,,,,,,,,,,,,,,
Vuori-men,kore-short-charcoal,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V302CCL_3.jpg?v=1561662369,4,,,,,,,,,,,,,,,,,,,,,
Vuori-men,sunday-performance-jogger-charcoal-heather,Sunday Performance Jogger | Charcoal Heather,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>A fresh take on athleisure and a staple in your wardrobe, the Sunday Performance Joggers are premier in fit, function and soft stretch. The shorter inseam will keep you moving with less bulk around your ankles; these joggers offer equal parts style and comfort. Great for running, traveling and chilling.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Orders will ship within 1 business day from the time they are placed. All Vuori order ship from Southern California. Once processed, standard ground shipments can take as little as 2-3 days to destinations within California and up to five to ten business days to the east coast. Expedited shipments are the exception. Orders must be placed by noon eastern time to be processed same business day.\n\nIf you are not completely satisfied with your purchase, send it back. We are happy to accept returns (we do not accept returns of sale-items) for a refund, or store credit. (If an order is older than 60 days we can only offer store credit).</sectionBody></section></sections>",Vuori-men,Pants,"vuori, pants",,Title, Default Title,Link,https://vuoriclothing.com/collections/mens/products/sunday-performance-jogger-charcoal-heather,,,,1,,deny,manual,89,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V416HCC.jpg?v=1554350901,1,,FALSE,,,,,,,,,,,,,,,,,,,
Vuori-men,sunday-performance-jogger-charcoal-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V416HCC_1.jpg?v=1554350901,2,,,,,,,,,,,,,,,,,,,,,
Vuori-men,sunday-performance-jogger-charcoal-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V416HCC_2.jpg?v=1554350901,3,,,,,,,,,,,,,,,,,,,,,
Vuori-men,sunday-performance-jogger-charcoal-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V416HCC_3.jpg?v=1554350901,4,,,,,,,,,,,,,,,,,,,,,
Vuori-men,banks-short-azure-linen-texture,Banks Short | Azure Linen Texture,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>The ultimate in versatility, the Banks Shorts are made from four to five recycled plastic bottles each to take you from land to sea and beyond. An athletic short built with a scalloped leg for your most universal performance item. Great for yoga, training, running, surfing, swimming and chilling.</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Orders will ship within 1 business day from the time they are placed. All Vuori order ship from Southern California. Once processed, standard ground shipments can take as little as 2-3 days to destinations within California and up to five to ten business days to the east coast. Expedited shipments are the exception. Orders must be placed by noon eastern time to be processed same business day.\n\nIf you are not completely satisfied with your purchase, send it back. We are happy to accept returns (we do not accept returns of sale-items) for a refund, or store credit. (If an order is older than 60 days we can only offer store credit).</sectionBody></section></sections>",Vuori-men,Shorts,"vuori, shorts, best seller",,Title, Default Title,Link,https://vuoriclothing.com/collections/mens/products/banks-short-azure-linen-texture,,,,1,,deny,manual,68,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V330AZL_83b09da4-74ac-4b62-aca7-ce89b84ac552.jpg?v=1561672321,1,,FALSE,,,,,,,,,,,,,,,,,,,
Vuori-men,banks-short-azure-linen-texture,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/V330.03AZL_4_1cb68939-30be-486c-af56-1067574af850.jpg?v=1561672321,2,,,,,,,,,,,,,,,,,,,,,
